config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
mixture_none,mixture,none,MS,-2.5,0.537,47,0.232,-1.96,-2.22,-1.74,1
mixture_none,mixture,none,MS,-2.5,0.537,48,0.2599,-1.98,-2.24,-1.78,1
mixture_none,mixture,none,MS,-2.5,0.537,49,0.8449,-2.38,-2.48,-2.2,0
mixture_none,mixture,none,MS,-2.5,0.537,50,0.1481,-1.96,-2.2,-1.7,1
mixture_none,mixture,none,MS,-2.5,0.537,51,0.4179,-2.14,-2.36,-1.94,1
mixture_none,mixture,none,MS,-2.5,0.537,52,0.517,-2.24,-2.42,-2.04,0
mixture_none,mixture,none,MS,-2.5,0.537,53,0.454,-2.2,-2.4,-2.0,1
mixture_none,mixture,none,MS,-2.5,0.537,54,0.8545,-2.36,-2.46,-2.18,0
mixture_none,mixture,none,MS,-2.5,0.537,55,0.8983,-2.38,-2.48,-2.24,0
mixture_none,mixture,none,MS,-2.5,0.537,56,0.7505,-2.32,-2.46,-2.12,0
mixture_none,mixture,none,MS,-2.5,0.537,57,0.4518,-2.22,-2.42,-2.02,1
mixture_none,mixture,none,MS,-2.5,0.537,58,0.8591,-2.38,-2.48,-2.22,0
mixture_none,mixture,none,MS,-2.5,0.537,59,0.3942,-2.14,-2.36,-1.92,1
mixture_none,mixture,none,RGB,-2.5,0.62,0,0.8956,-2.38,-2.48,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.62,1,0.9403,-2.4,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.62,2,0.909,-2.4,-2.48,-2.24,1
mixture_none,mixture,none,RGB,-2.5,0.62,3,0.7708,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,RGB,-2.5,0.62,4,0.948,-2.4,-2.48,-2.26,1
mixture_none,mixture,none,RGB,-2.5,0.62,5,0.778,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.62,6,0.9537,-2.4,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.62,7,0.6705,-2.28,-2.44,-2.06,1
mixture_none,mixture,none,RGB,-2.5,0.62,8,0.8888,-2.38,-2.48,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.62,9,0.8028,-2.34,-2.46,-2.14,1
