config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,33,1.0,-1.92,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,34,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,35,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,36,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,37,1.0,-2.1,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,38,1.0,-2.44,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,39,1.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,40,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,41,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,42,1.0,-2.26,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,43,1.0,-2.44,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,44,1.0,-2.24,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,45,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,46,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,47,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,48,1.0,-2.12,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,49,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,50,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,51,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,52,1.0,-2.12,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,53,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,54,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,55,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,56,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,57,1.0,-2.12,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,58,1.0,-1.88,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,59,1.0,-2.5,nan,nan,1
